series,seed,ok,keep,source,moves,level,lower_bound,ratio,seconds,id,generator,created_by,path
100,447,0,0,-,,,24,,5.498,,random_walk@1,beadmatch,
100,448,1,1,kociemba,27,3,18,1.5,0.036,20260913-001837-82e8,random_walk@1,beadmatch,puzzles\3\20260913-001837-82e8.txt
100,449,0,0,-,,,22,,5.195,,random_walk@1,beadmatch,
100,450,0,0,-,,,19,,5.372,,random_walk@1,beadmatch,
100,451,1,1,kociemba,38,4,20,1.9,0.04,20260913-001848-b690,random_walk@1,beadmatch,puzzles\4\20260913-001848-b690.txt
100,452,1,1,kociemba,38,4,21,1.81,0.018,20260913-001848-57e0,random_walk@1,beadmatch,puzzles\4\20260913-001848-57e0.txt
100,453,0,0,-,,,21,,5.134,,random_walk@1,beadmatch,
100,454,1,0,dfs,182,,20,9.1,1.342,,random_walk@1,beadmatch,
100,455,1,1,kociemba,24,3,20,1.2,0.023,20260913-001854-91c4,random_walk@1,beadmatch,puzzles\3\20260913-001854-91c4.txt
100,456,1,1,kociemba,28,3,21,1.33,0.01,20260913-001854-197d,random_walk@1,beadmatch,puzzles\3\20260913-001854-197d.txt
100,457,1,1,kociemba,20,2,17,1.18,0.016,20260913-001854-50ec,random_walk@1,beadmatch,puzzles\2\20260913-001854-50ec.txt
100,458,1,1,kociemba,24,3,20,1.2,0.014,20260913-001854-0f89,random_walk@1,beadmatch,puzzles\3\20260913-001854-0f89.txt
100,459,1,1,kociemba,17,2,13,1.31,0.011,20260913-001854-d00b,random_walk@1,beadmatch,puzzles\2\20260913-001854-d00b.txt
100,460,1,1,kociemba,21,3,18,1.17,0.005,20260913-001854-5f8f,random_walk@1,beadmatch,puzzles\3\20260913-001854-5f8f.txt
100,461,0,0,-,,,19,,5.071,,random_walk@1,beadmatch,
100,462,1,1,kociemba,24,3,12,2.0,0.004,20260913-001859-dfd4,random_walk@1,beadmatch,puzzles\3\20260913-001859-dfd4.txt
100,463,1,1,kociemba,16,2,13,1.23,0.005,20260913-001859-d9d8,random_walk@1,beadmatch,puzzles\2\20260913-001859-d9d8.txt
100,464,1,1,kociemba,24,3,19,1.26,0.007,20260913-001859-6a26,random_walk@1,beadmatch,puzzles\3\20260913-001859-6a26.txt
100,465,1,1,kociemba,22,3,18,1.22,0.011,20260913-001859-9535,random_walk@1,beadmatch,puzzles\3\20260913-001859-9535.txt
100,466,0,0,-,,,23,,5.38,,random_walk@1,beadmatch,
100,467,1,1,kociemba,34,4,22,1.55,0.005,20260913-001905-f8f8,random_walk@1,beadmatch,puzzles\4\20260913-001905-f8f8.txt
